Iteration,ms/it,Loss,Wall Time Duration (s)
20,578.96,0.088643,382.957
40,533.98,0.085613,210.992
60,467.94,0.084396,183.318
80,469.21,0.083794,211.175
100,450.83,0.083538,210.514
120,489.27,0.083489,183.252
140,459.24,0.083331,211.716
160,452.79,0.08347,208.523
180,448.4,0.083466,185.014
200,448.3,0.083413,211.199
220,450.0,0.083471,207.848
240,456.25,0.083466,186.308
260,448.11,0.08329,210.949
280,449.27,0.083395,206.467
300,450.35,0.083346,188.113
320,448.45,0.083311,211.634
340,471.88,0.083348,483.576
360,500.29,0.083304,330.872
380,462.26,0.083424,474.139
400,449.48,0.08342,204.855
420,448.43,0.083423,189.966
440,450.29,0.083351,210.988
460,463.89,0.083315,204.429
480,449.63,0.083376,190.075
500,448.55,0.08339,210.507
520,448.65,0.083452,204.808
540,448.76,0.083303,190.783
560,448.64,0.083441,210.304
580,450.83,0.083375,203.372
600,519.22,0.083329,575.302
620,479.11,0.083352,548.047
640,463.75,0.083342,299.084
660,448.78,0.083403,184.782
680,509.52,0.08339,209.018
700,448.65,0.083376,210.611
720,462.42,0.083442,184.75
740,448.18,0.083408,209.106
760,456.78,0.083428,209.931
780,463.04,0.083475,185.471
800,448.46,0.083402,209.264
